订单号,订单日期,产品类别,产品名称,销售区域,城市,销售渠道,客户类型,数量,单价,折扣率,销售额
ORD20246073,2024-03-22,家居用品,北欧落地灯,华东,上海,线上商城,会员用户,6,648.48,0.1,3501.79
ORD20261857,2024-03-22,食品饮料,气泡水,华东,上海,小程序,会员用户,2,263.21,0.2,421.14
ORD20267897,2024-03-22,家居用品,加湿器,华北,石家庄,APP,个人用户,4,1479.57,0.0,5918.28
ORD20263901,2024-03-22,电子产品,智能手机,华北,太原,APP,个人用户,1,7676.56,0.0,7676.56
ORD20250566,2024-03-22,美妆个护,防晒喷雾,华北,石家庄,APP,个人用户,9,169.94,0.3,1070.62
ORD20245370,2024-03-22,家居用品,加湿器,西南,重庆,线上商城,会员用户,3,1332.69,0.0,3998.07
ORD20255033,2024-03-22,母婴玩具,保温奶瓶,华北,天津,线上商城,会员用户,1,594.31,0.1,534.88
ORD20257780,2024-03-22,电子产品,机械键盘,华东,苏州,小程序,个人用户,4,1124.87,0.1,4049.53
ORD20244839,2024-03-22,电子产品,智能手机,华中,郑州,线上商城,会员用户,3,4396.89,0.0,13190.67
ORD20255981,2024-03-22,母婴玩具,儿童积木,华中,长沙,APP,个人用户,1,539.9,0.0,539.9
ORD20248020,2024-03-22,家居用品,加湿器,西南,重庆,线上商城,会员用户,2,1015.3,0.0,2030.6
ORD20251808,2024-03-22,食品饮料,坚果零食礼包,华南,东莞,小程序,个人用户,3,200.35,0.1,540.94
ORD20242969,2024-03-22,家居用品,实木置物架,华东,苏州,线上商城,个人用户,2,69.14,0.0,138.28
ORD20248992,2024-03-22,服装鞋帽,纯棉T恤,华中,郑州,线下门店,个人用户,6,129.99,0.0,779.94
ORD20240552,2024-03-22,服装鞋帽,跑步鞋,华中,武汉,APP,个人用户,4,679.32,0.0,2717.28
ORD20268529,2024-03-22,服装鞋帽,纯棉T恤,华南,佛山,APP,个人用户,7,450.01,0.2,2520.06
ORD20255165,2024-03-22,家居用品,加湿器,东北,哈尔滨,小程序,个人用户,3,722.1,0.0,2166.3
ORD20264904,2024-03-22,家居用品,记忆棉枕头,西北,西安,APP,个人用户,4,1161.76,0.0,4647.04
ORD20262202,2024-03-22,母婴玩具,儿童积木,华南,东莞,APP,个人用户,4,408.03,0.1,1468.91
ORD20264323,2024-03-22,家居用品,北欧落地灯,华北,北京,线上商城,个人用户,11,1480.14,0.3,11397.08
ORD20247960,2024-03-22,电子产品,便携充电宝,华南,深圳,线上商城,个人用户,5,2741.01,0.15,11649.29
ORD20251403,2024-03-22,运动户外,健身哑铃,西南,昆明,小程序,个人用户,4,993.74,0.1,3577.46
ORD20242911,2024-03-22,电子产品,便携充电宝,华东,杭州,线上商城,个人用户,5,6265.51,0.15,26628.42
ORD20251409,2024-03-22,家居用品,陶瓷餐具套装,西南,重庆,APP,企业采购,6,1051.92,0.15,5364.79
ORD20250982,2024-03-22,服装鞋帽,防风外套,西南,重庆,小程序,会员用户,2,888.83,0.3,1244.36
ORD20250285,2024-03-22,电子产品,便携充电宝,华东,苏州,线上商城,会员用户,3,7708.76,0.1,20813.65
ORD20261786,2024-03-22,运动户外,瑜伽垫,华南,东莞,线上商城,企业采购,2,367.02,0.3,513.83
ORD20241596,2024-03-22,家居用品,实木置物架,华中,郑州,线上商城,个人用户,4,375.92,0.1,1353.31
ORD20241842,2024-03-22,家居用品,陶瓷餐具套装,华东,苏州,线上商城,个人用户,7,986.54,0.2,5524.62
ORD20262595,2024-03-22,办公用品,中性笔套装,西北,乌鲁木齐,线上商城,个人用户,2,409.83,0.2,655.73
ORD20253264,2024-03-22,办公用品,碎纸机,华东,南京,APP,会员用户,2,55.96,0.0,111.92
ORD20248359,2024-03-22,电子产品,高清显示器,西南,贵阳,APP,企业采购,2,1565.71,0.3,2191.99
ORD20252688,2024-03-22,家居用品,实木置物架,华中,郑州,APP,个人用户,1,1217.28,0.0,1217.28
ORD20261825,2024-03-22,办公用品,碎纸机,华东,南京,APP,企业采购,8,563.12,0.15,3829.22
ORD20261049,2024-03-22,办公用品,文件收纳盒,华北,太原,APP,个人用户,4,94.95,0.0,379.8
ORD20250457,2024-03-22,食品饮料,手工巧克力,华北,天津,APP,个人用户,22,103.88,0.2,1828.29
ORD20260446,2024-03-22,电子产品,便携充电宝,华南,东莞,线上商城,会员用户,4,3988.15,0.05,15154.97
ORD20255421,2024-03-22,家居用品,加湿器,华南,深圳,线上商城,个人用户,1,1253.41,0.0,1253.41
ORD20245487,2024-03-22,美妆个护,香氛沐浴露,华南,广州,小程序,个人用户,1,651.09,0.1,585.98
ORD20249549,2024-03-22,办公用品,文件收纳盒,西南,重庆,APP,企业采购,8,312.94,0.05,2378.34
ORD20249576,2024-03-22,食品饮料,气泡水,西北,乌鲁木齐,APP,个人用户,13,52.48,0.05,648.13
ORD20249596,2024-03-22,服装鞋帽,跑步鞋,华北,天津,APP,个人用户,3,640.28,0.0,1920.84
ORD20263707,2024-03-22,电子产品,智能手机,华北,石家庄,小程序,个人用户,2,6064.19,0.0,12128.38
ORD20269839,2024-03-22,服装鞋帽,纯棉T恤,华北,北京,小程序,会员用户,1,204.71,0.05,194.47
ORD20247057,2024-03-22,电子产品,机械键盘,华北,北京,线上商城,企业采购,2,501.64,0.0,1003.28
ORD20263046,2024-03-22,电子产品,便携充电宝,西北,西安,线上商城,企业采购,3,6554.96,0.0,19664.88
ORD20266653,2024-03-22,运动户外,健身哑铃,华东,上海,小程序,个人用户,2,714.65,0.15,1214.9
ORD20268619,2024-03-22,家居用品,记忆棉枕头,华东,苏州,APP,企业采购,7,322.71,0.2,1807.18
ORD20246518,2024-03-22,服装鞋帽,跑步鞋,华北,太原,线上商城,个人用户,7,526.6,0.2,2948.96
ORD20263798,2024-03-22,食品饮料,气泡水,华南,广州,线下门店,个人用户,12,282.17,0.0,3386.04
ORD20254991,2024-03-22,食品饮料,手工巧克力,华东,苏州,APP,个人用户,2,238.29,0.2,381.26
ORD20252863,2024-03-22,运动户外,户外帐篷,华北,石家庄,线下门店,个人用户,4,602.85,0.05,2290.83
ORD20240681,2024-03-22,办公用品,文件收纳盒,华南,东莞,APP,个人用户,8,512.26,0.0,4098.08
ORD20248673,2024-03-22,家居用品,实木置物架,华北,天津,线上商城,个人用户,3,734.89,0.15,1873.97
ORD20251105,2024-03-22,家居用品,北欧落地灯,华东,杭州,小程序,个人用户,1,1548.63,0.1,1393.77
ORD20256920,2024-03-22,电子产品,高清显示器,华中,武汉,APP,会员用户,2,5557.64,0.3,7780.7
ORD20264283,2024-03-22,办公用品,中性笔套装,华南,深圳,APP,会员用户,1,306.05,0.0,306.05
ORD20258648,2024-03-22,服装鞋帽,纯棉T恤,华北,天津,线上商城,个人用户,4,114.85,0.2,367.52
ORD20257037,2024-03-22,母婴玩具,婴儿纸尿裤,华北,太原,小程序,个人用户,3,167.64,0.0,502.92
ORD20269303,2024-03-22,电子产品,智能手表,华南,佛山,线上商城,会员用户,3,4913.8,0.1,13267.26
ORD20257537,2024-03-22,运动户外,运动水壶,华北,天津,线上商城,个人用户,3,1162.81,0.1,3139.59
ORD20249933,2024-03-22,电子产品,智能手表,西南,贵阳,小程序,企业采购,1,8084.41,0.05,7680.19
ORD20253847,2024-03-22,电子产品,智能手机,华东,上海,线上商城,企业采购,4,8316.95,0.3,23287.46
ORD20265063,2024-03-22,美妆个护,保湿面霜,西南,贵阳,线上商城,个人用户,3,752.75,0.0,2258.25
ORD20261664,2024-03-22,电子产品,智能手机,华北,石家庄,小程序,企业采购,1,1415.1,0.0,1415.1
ORD20241543,2024-03-22,服装鞋帽,跑步鞋,华东,苏州,APP,个人用户,5,477.81,0.05,2269.6
ORD20255985,2024-03-22,运动户外,户外帐篷,华中,长沙,线上商城,个人用户,1,690.26,0.0,690.26
ORD20257438,2024-03-22,运动户外,户外帐篷,华南,东莞,APP,企业采购,4,127.38,0.05,484.04
ORD20244223,2024-03-22,运动户外,运动水壶,华东,宁波,线上商城,会员用户,5,528.67,0.2,2114.68
ORD20254625,2024-03-22,母婴玩具,保温奶瓶,华北,北京,小程序,企业采购,2,122.44,0.05,232.64
ORD20251139,2024-03-22,食品饮料,有机牛奶,华东,苏州,APP,个人用户,10,261.01,0.15,2218.58
ORD20255793,2024-03-22,服装鞋帽,防风外套,华南,深圳,APP,个人用户,6,164.97,0.0,989.82
ORD20240070,2024-03-22,家居用品,北欧落地灯,华东,苏州,线上商城,个人用户,6,803.97,0.15,4100.25
ORD20265529,2024-03-22,食品饮料,坚果零食礼包,华中,郑州,小程序,个人用户,1,185.93,0.0,185.93
ORD20252814,2024-03-22,食品饮料,坚果零食礼包,华南,东莞,APP,会员用户,5,240.46,0.15,1021.96
ORD20240461,2024-03-22,办公用品,A4打印纸,华南,深圳,小程序,会员用户,8,438.09,0.1,3154.25
ORD20255610,2024-03-22,美妆个护,氨基酸洁面,华东,杭州,线上商城,会员用户,2,665.93,0.2,1065.49
ORD20253696,2024-03-22,母婴玩具,保温奶瓶,华南,佛山,线上商城,企业采购,3,431.28,0.0,1293.84
ORD20256147,2024-03-23,美妆个护,保湿面霜,华中,郑州,线上商城,企业采购,2,52.5,0.0,105.0
ORD20263222,2024-03-23,服装鞋帽,连帽卫衣,华中,长沙,APP,企业采购,2,502.89,0.15,854.91
ORD20248481,2024-03-23,电子产品,便携充电宝,华中,郑州,线上商城,会员用户,1,5210.26,0.0,5210.26
ORD20256715,2024-03-23,电子产品,智能手表,华北,北京,线上商城,个人用户,3,6109.4,0.15,15578.97
ORD20246375,2024-03-23,家居用品,实木置物架,华北,天津,线下门店,企业采购,3,1135.92,0.0,3407.76
ORD20250478,2024-03-23,运动户外,瑜伽垫,东北,大连,线上商城,个人用户,4,1277.8,0.05,4855.64
ORD20261934,2024-03-23,家居用品,北欧落地灯,华中,长沙,线上商城,企业采购,2,1161.06,0.2,1857.7
ORD20242516,2024-03-23,家居用品,实木置物架,华南,深圳,线上商城,会员用户,5,883.37,0.15,3754.32
ORD20240888,2024-03-23,服装鞋帽,纯棉T恤,华南,广州,APP,会员用户,4,115.57,0.3,323.6
ORD20259878,2024-03-23,电子产品,机械键盘,华南,佛山,线上商城,会员用户,7,6979.43,0.3,34199.21
ORD20244200,2024-03-23,电子产品,机械键盘,华东,南京,APP,会员用户,5,2715.63,0.15,11541.43
ORD20258441,2024-03-23,家居用品,北欧落地灯,华南,佛山,线上商城,企业采购,2,133.07,0.0,266.14
ORD20267404,2024-03-23,家居用品,记忆棉枕头,华东,上海,APP,个人用户,3,392.72,0.0,1178.16
ORD20245439,2024-03-23,食品饮料,有机牛奶,西南,昆明,线上商城,企业采购,7,33.48,0.2,187.49
ORD20245003,2024-03-23,电子产品,机械键盘,华南,广州,APP,个人用户,7,2746.26,0.3,13456.67
ORD20266065,2024-03-23,运动户外,户外帐篷,西北,西安,APP,个人用户,1,802.29,0.05,762.18
ORD20254567,2024-03-23,电子产品,智能手机,华东,苏州,线上商城,企业采购,3,4674.76,0.0,14024.28
ORD20253261,2024-03-23,母婴玩具,遥控玩具车,西北,西安,小程序,会员用户,1,454.16,0.0,454.16
ORD20261937,2024-03-23,电子产品,便携充电宝,西南,重庆,线上商城,个人用户,3,705.88,0.15,1799.99
ORD20246967,2024-03-23,家居用品,实木置物架,东北,沈阳,APP,个人用户,4,987.49,0.0,3949.96
ORD20250961,2024-03-23,家居用品,实木置物架,华中,长沙,线上商城,企业采购,3,220.26,0.1,594.7
ORD20251946,2024-03-23,服装鞋帽,修身牛仔裤,华东,南京,APP,个人用户,5,874.59,0.15,3717.01
ORD20244251,2024-03-23,电子产品,高清显示器,华北,石家庄,线上商城,会员用户,5,3374.4,0.2,13497.6
ORD20243900,2024-03-23,母婴玩具,遥控玩具车,华北,天津,线上商城,个人用户,4,290.52,0.0,1162.08
ORD20257661,2024-03-23,电子产品,智能手机,华东,南京,小程序,企业采购,7,7661.7,0.3,37542.33
ORD20269176,2024-03-23,运动户外,瑜伽垫,华北,石家庄,APP,企业采购,3,95.79,0.0,287.37
ORD20244007,2024-03-23,食品饮料,坚果零食礼包,华东,苏州,线上商城,个人用户,5,206.37,0.2,825.48
ORD20255127,2024-03-23,家居用品,陶瓷餐具套装,华东,南京,线上商城,个人用户,1,96.54,0.05,91.71
ORD20261048,2024-03-23,电子产品,智能手表,华北,太原,线上商城,个人用户,4,5759.54,0.1,20734.34
ORD20242421,2024-03-23,服装鞋帽,纯棉T恤,华东,宁波,小程序,个人用户,3,330.96,0.0,992.88
ORD20251132,2024-03-23,家居用品,实木置物架,华东,南京,小程序,企业采购,1,1584.31,0.0,1584.31
ORD20252868,2024-03-23,家居用品,加湿器,华北,天津,线上商城,个人用户,3,1543.79,0.15,3936.66
ORD20253228,2024-03-23,家居用品,记忆棉枕头,华南,佛山,线上商城,会员用户,1,398.14,0.1,358.33
ORD20242943,2024-03-23,办公用品,碎纸机,西南,成都,APP,个人用户,11,178.77,0.15,1671.5
ORD20247700,2024-03-23,运动户外,运动水壶,华东,宁波,线上商城,企业采购,1,850.37,0.05,807.85
ORD20266723,2024-03-23,母婴玩具,遥控玩具车,华北,太原,APP,个人用户,4,317.96,0.0,1271.84
ORD20269349,2024-03-23,服装鞋帽,跑步鞋,华北,太原,APP,企业采购,4,757.64,0.0,3030.56
ORD20245278,2024-03-23,电子产品,智能手机,华南,佛山,APP,个人用户,1,8690.76,0.05,8256.22
ORD20267883,2024-03-23,办公用品,碎纸机,西南,成都,线上商城,个人用户,2,193.86,0.0,387.72
ORD20262529,2024-03-23,电子产品,便携充电宝,华北,北京,APP,个人用户,2,5547.87,0.0,11095.74
ORD20249423,2024-03-23,母婴玩具,保温奶瓶,华南,深圳,线下门店,个人用户,4,511.78,0.3,1432.98
ORD20248878,2024-03-23,服装鞋帽,跑步鞋,华中,武汉,线上商城,个人用户,2,624.2,0.0,1248.4
ORD20263771,2024-03-23,服装鞋帽,跑步鞋,西北,兰州,线上商城,会员用户,5,646.22,0.2,2584.88
ORD20269498,2024-03-23,服装鞋帽,防风外套,华北,天津,APP,个人用户,6,535.66,0.0,3213.96
ORD20242112,2024-03-23,家居用品,记忆棉枕头,东北,哈尔滨,APP,个人用户,5,245.14,0.0,1225.7
ORD20267442,2024-03-23,食品饮料,坚果零食礼包,华北,北京,线上商城,个人用户,10,94.13,0.0,941.3
ORD20257740,2024-03-23,美妆个护,香氛沐浴露,华北,北京,APP,个人用户,3,653.92,0.1,1765.58
ORD20250024,2024-03-23,办公用品,A4打印纸,华东,南京,线上商城,会员用户,1,91.42,0.0,91.42
ORD20265029,2024-03-23,食品饮料,有机牛奶,华东,宁波,APP,个人用户,12,64.54,0.0,774.48
ORD20269165,2024-03-23,食品饮料,挂耳咖啡,华南,东莞,线上商城,个人用户,16,90.49,0.2,1158.27
ORD20261965,2024-03-23,电子产品,智能手表,华东,宁波,APP,个人用户,2,1845.17,0.05,3505.82
ORD20252960,2024-03-23,服装鞋帽,防风外套,西北,乌鲁木齐,小程序,会员用户,2,504.09,0.0,1008.18
ORD20269430,2024-03-23,母婴玩具,遥控玩具车,西北,西安,小程序,个人用户,2,352.39,0.15,599.06
ORD20249836,2024-03-23,母婴玩具,遥控玩具车,华东,宁波,线上商城,个人用户,1,267.25,0.05,253.89
ORD20266040,2024-03-23,电子产品,智能手表,西南,昆明,线上商城,个人用户,7,3366.16,0.3,16494.18
ORD20264013,2024-03-23,家居用品,加湿器,华东,上海,APP,个人用户,3,270.01,0.0,810.03
ORD20242284,2024-03-23,食品饮料,气泡水,西北,兰州,线上商城,企业采购,5,174.31,0.2,697.24
ORD20247664,2024-03-23,服装鞋帽,跑步鞋,华东,宁波,线上商城,企业采购,5,460.96,0.0,2304.8
ORD20245362,2024-03-23,电子产品,便携充电宝,华南,深圳,线下门店,企业采购,3,8774.04,0.0,26322.12
ORD20244078,2024-03-23,电子产品,无线蓝牙耳机,华北,石家庄,APP,个人用户,1,7106.46,0.05,6751.14
ORD20267624,2024-03-23,运动户外,健身哑铃,华南,东莞,线上商城,会员用户,5,601.96,0.2,2407.84
ORD20256324,2024-03-23,食品饮料,有机牛奶,华北,太原,线上商城,个人用户,2,226.12,0.05,429.63
ORD20245035,2024-03-23,家居用品,记忆棉枕头,西南,昆明,APP,会员用户,3,61.57,0.0,184.71
ORD20245559,2024-03-23,服装鞋帽,连帽卫衣,东北,哈尔滨,APP,个人用户,2,101.55,0.2,162.48
ORD20269319,2024-03-23,家居用品,陶瓷餐具套装,华东,南京,APP,个人用户,7,237.27,0.1,1494.8
ORD20251994,2024-03-23,运动户外,运动水壶,华北,北京,APP,个人用户,2,1231.77,0.3,1724.48
ORD20244235,2024-03-23,电子产品,智能手机,华中,长沙,线下门店,企业采购,2,1827.37,0.0,3654.74
ORD20251269,2024-03-23,家居用品,陶瓷餐具套装,东北,大连,线上商城,会员用户,2,618.85,0.3,866.39
ORD20250013,2024-03-23,服装鞋帽,修身牛仔裤,华中,武汉,APP,个人用户,6,369.49,0.0,2216.94
ORD20250512,2024-03-23,办公用品,碎纸机,华北,北京,线上商城,企业采购,4,140.17,0.0,560.68
ORD20256998,2024-03-23,办公用品,A4打印纸,华北,太原,线上商城,个人用户,5,224.75,0.05,1067.56
ORD20243942,2024-03-23,电子产品,智能手表,华南,东莞,小程序,个人用户,1,3208.8,0.1,2887.92
ORD20257384,2024-03-23,美妆个护,氨基酸洁面,华东,宁波,线上商城,个人用户,5,691.4,0.15,2938.45
ORD20246511,2024-03-23,电子产品,机械键盘,华东,南京,线上商城,个人用户,5,694.56,0.2,2778.24
ORD20256376,2024-03-23,办公用品,碎纸机,华南,佛山,小程序,个人用户,7,227.54,0.05,1513.14
ORD20268461,2024-03-23,美妆个护,香氛沐浴露,华东,上海,线上商城,企业采购,5,191.83,0.05,911.19
ORD20244368,2024-03-23,食品饮料,气泡水,东北,哈尔滨,APP,企业采购,10,123.73,0.0,1237.3
ORD20243899,2024-03-23,办公用品,碎纸机,华南,深圳,线上商城,会员用户,7,43.25,0.05,287.61
ORD20255257,2024-03-23,家居用品,实木置物架,华东,杭州,线上商城,个人用户,4,1312.27,0.0,5249.08
ORD20257943,2024-03-23,家居用品,北欧落地灯,华北,石家庄,APP,个人用户,3,1302.85,0.0,3908.55
ORD20257602,2024-03-23,服装鞋帽,防风外套,华东,杭州,线下门店,个人用户,7,893.52,0.3,4378.25
ORD20265972,2024-03-23,美妆个护,保湿面霜,华东,苏州,APP,个人用户,2,575.09,0.2,920.14
ORD20259993,2024-03-23,家居用品,北欧落地灯,华东,杭州,线下门店,会员用户,5,570.66,0.0,2853.3
ORD20241336,2024-03-23,食品饮料,手工巧克力,华东,宁波,小程序,个人用户,6,26.06,0.0,156.36
ORD20253778,2024-03-23,家居用品,实木置物架,华北,石家庄,小程序,个人用户,3,264.94,0.0,794.82
ORD20247776,2024-03-23,办公用品,文件收纳盒,华南,广州,线下门店,个人用户,8,678.5,0.0,5428.0
ORD20248101,2024-03-23,电子产品,无线蓝牙耳机,华北,太原,线上商城,个人用户,2,2686.11,0.0,5372.22
ORD20245325,2024-03-23,办公用品,中性笔套装,华南,广州,线下门店,个人用户,4,171.41,0.0,685.64
ORD20262104,2024-03-23,电子产品,便携充电宝,华南,佛山,线下门店,个人用户,5,4541.45,0.15,19301.16
ORD20256020,2024-03-24,运动户外,瑜伽垫,华东,南京,APP,个人用户,2,911.4,0.0,1822.8
ORD20269471,2024-03-24,服装鞋帽,跑步鞋,华东,杭州,线上商城,企业采购,8,312.38,0.15,2124.18
ORD20252648,2024-03-24,食品饮料,挂耳咖啡,华南,佛山,APP,个人用户,10,150.05,0.15,1275.42
ORD20267780,2024-03-24,家居用品,北欧落地灯,西南,重庆,线上商城,企业采购,5,1020.98,0.0,5104.9
ORD20267389,2024-03-24,美妆个护,氨基酸洁面,华东,杭州,小程序,企业采购,7,608.82,0.3,2983.22
ORD20261556,2024-03-24,电子产品,无线蓝牙耳机,华东,宁波,小程序,会员用户,5,4557.54,0.2,18230.16
ORD20252869,2024-03-24,母婴玩具,保温奶瓶,华北,太原,APP,企业采购,2,176.77,0.15,300.51
ORD20266903,2024-03-24,电子产品,高清显示器,华南,深圳,线上商城,个人用户,7,751.95,0.3,3684.56
ORD20252978,2024-03-24,服装鞋帽,连帽卫衣,华东,南京,小程序,个人用户,8,858.52,0.1,6181.34
ORD20261877,2024-03-24,母婴玩具,保温奶瓶,华东,上海,线上商城,企业采购,1,142.69,0.0,142.69
ORD20263391,2024-03-24,电子产品,智能手表,华南,东莞,小程序,企业采购,2,6541.69,0.0,13083.38
ORD20258800,2024-03-24,办公用品,A4打印纸,华北,北京,线上商城,个人用户,5,163.51,0.0,817.55
ORD20244220,2024-03-24,母婴玩具,保温奶瓶,华中,郑州,线下门店,企业采购,2,260.79,0.0,521.58
ORD20260797,2024-03-24,电子产品,便携充电宝,华北,太原,APP,会员用户,7,6458.0,0.3,31644.2
ORD20268616,2024-03-24,家居用品,实木置物架,华北,太原,线上商城,会员用户,11,1167.28,0.3,8988.06
ORD20262464,2024-03-24,食品饮料,手工巧克力,华北,石家庄,线上商城,会员用户,2,106.16,0.15,180.47
ORD20256015,2024-03-24,电子产品,机械键盘,华南,深圳,线上商城,企业采购,2,7915.53,0.05,15039.51
ORD20255951,2024-03-24,服装鞋帽,防风外套,华北,北京,线上商城,企业采购,7,794.96,0.1,5008.25
ORD20267419,2024-03-24,服装鞋帽,连帽卫衣,西南,成都,小程序,企业采购,3,607.62,0.0,1822.86
ORD20244740,2024-03-24,家居用品,记忆棉枕头,华北,北京,线上商城,个人用户,7,1477.51,0.2,8274.06
ORD20265038,2024-03-24,美妆个护,香氛沐浴露,西北,兰州,线上商城,会员用户,4,794.39,0.0,3177.56
ORD20260871,2024-03-24,服装鞋帽,跑步鞋,华北,天津,小程序,会员用户,3,239.3,0.0,717.9
ORD20261383,2024-03-24,电子产品,便携充电宝,西南,成都,小程序,企业采购,3,4896.17,0.0,14688.51
ORD20252187,2024-03-24,家居用品,实木置物架,华北,北京,线下门店,会员用户,1,1045.39,0.0,1045.39
ORD20250055,2024-03-24,办公用品,碎纸机,华南,佛山,小程序,会员用户,5,660.44,0.0,3302.2
ORD20240374,2024-03-24,食品饮料,气泡水,西南,昆明,APP,会员用户,14,214.98,0.2,2407.78
ORD20246417,2024-03-24,电子产品,机械键盘,华南,广州,APP,会员用户,2,3826.94,0.0,7653.88
ORD20242742,2024-03-24,服装鞋帽,纯棉T恤,华北,北京,APP,个人用户,2,470.72,0.0,941.44
ORD20258342,2024-03-24,服装鞋帽,纯棉T恤,华东,苏州,小程序,会员用户,2,863.02,0.0,1726.04
ORD20256061,2024-03-24,美妆个护,保湿面霜,华北,北京,APP,企业采购,2,505.45,0.2,808.72
ORD20241643,2024-03-24,家居用品,北欧落地灯,华南,佛山,线上商城,个人用户,2,452.35,0.15,769.0
ORD20246848,2024-03-24,食品饮料,有机牛奶,西南,贵阳,线上商城,会员用户,12,199.86,0.0,2398.32
ORD20246389,2024-03-24,电子产品,智能手表,华北,石家庄,线上商城,企业采购,3,1619.85,0.0,4859.55
ORD20259752,2024-03-24,办公用品,A4打印纸,华南,广州,线下门店,企业采购,7,598.49,0.05,3979.96
ORD20240130,2024-03-24,食品饮料,坚果零食礼包,东北,哈尔滨,线上商城,个人用户,11,236.55,0.0,2602.05
ORD20256959,2024-03-24,服装鞋帽,防风外套,华北,天津,线下门店,个人用户,5,310.82,0.2,1243.28
ORD20256189,2024-03-24,家居用品,北欧落地灯,华北,北京,小程序,会员用户,5,697.42,0.15,2964.04
ORD20242288,2024-03-24,美妆个护,香氛沐浴露,西南,贵阳,线下门店,个人用户,1,732.82,0.1,659.54
ORD20264726,2024-03-24,服装鞋帽,防风外套,华北,石家庄,线上商城,企业采购,2,884.16,0.05,1679.9
ORD20265424,2024-03-24,办公用品,中性笔套装,华南,东莞,APP,个人用户,11,539.71,0.2,4749.45
ORD20257482,2024-03-24,母婴玩具,儿童积木,华东,上海,小程序,会员用户,3,69.76,0.0,209.28
ORD20253454,2024-03-24,服装鞋帽,纯棉T恤,西南,昆明,APP,个人用户,3,317.06,0.0,951.18
ORD20266005,2024-03-24,运动户外,瑜伽垫,华北,北京,APP,企业采购,1,92.09,0.05,87.49
ORD20258719,2024-03-24,电子产品,便携充电宝,华北,太原,APP,个人用户,4,3162.29,0.2,10119.33
ORD20264833,2024-03-24,办公用品,A4打印纸,华南,广州,线上商城,会员用户,10,462.88,0.05,4397.36
ORD20259806,2024-03-24,办公用品,碎纸机,华南,佛山,线上商城,企业采购,4,673.53,0.05,2559.41
ORD20256956,2024-03-24,家居用品,记忆棉枕头,华北,北京,线上商城,企业采购,5,993.81,0.2,3975.24
ORD20267674,2024-03-24,母婴玩具,遥控玩具车,东北,大连,小程序,个人用户,2,480.44,0.0,960.88
ORD20260337,2024-03-24,办公用品,办公椅,华南,深圳,小程序,企业采购,6,42.17,0.05,240.37
ORD20248246,2024-03-24,美妆个护,保湿面霜,华北,石家庄,线上商城,企业采购,2,673.63,0.2,1077.81
ORD20269609,2024-03-24,食品饮料,气泡水,华南,东莞,APP,企业采购,13,39.48,0.05,487.58
ORD20258782,2024-03-24,家居用品,记忆棉枕头,华北,北京,线上商城,个人用户,6,771.08,0.05,4395.16
ORD20244421,2024-03-24,家居用品,陶瓷餐具套装,华北,石家庄,线下门店,个人用户,2,1577.27,0.0,3154.54
ORD20265984,2024-03-24,电子产品,便携充电宝,华南,佛山,APP,企业采购,3,4934.35,0.1,13322.74
ORD20263475,2024-03-24,家居用品,加湿器,华东,上海,小程序,个人用户,6,664.39,0.05,3787.02
ORD20253514,2024-03-24,美妆个护,保湿面霜,华南,东莞,线上商城,个人用户,4,377.87,0.1,1360.33
ORD20245106,2024-03-24,运动户外,户外帐篷,华东,杭州,APP,企业采购,5,877.07,0.15,3727.55
ORD20264175,2024-03-24,服装鞋帽,连帽卫衣,西南,贵阳,线上商城,会员用户,7,381.73,0.05,2538.5
ORD20248860,2024-03-24,服装鞋帽,跑步鞋,西北,西安,APP,个人用户,9,339.37,0.2,2443.46
ORD20263079,2024-03-24,美妆个护,保湿面霜,东北,大连,APP,个人用户,3,633.98,0.0,1901.94
ORD20265815,2024-03-24,食品饮料,手工巧克力,华北,北京,APP,企业采购,7,244.93,0.05,1628.78
ORD20245734,2024-03-24,运动户外,健身哑铃,华北,天津,线上商城,企业采购,1,1067.02,0.0,1067.02
ORD20256848,2024-03-24,电子产品,便携充电宝,华南,佛山,小程序,会员用户,2,6875.96,0.2,11001.54
ORD20263477,2024-03-24,办公用品,A4打印纸,华中,武汉,小程序,个人用户,7,620.42,0.2,3474.35
ORD20264775,2024-03-24,电子产品,智能手表,西南,成都,线上商城,个人用户,3,2527.02,0.0,7581.06
ORD20254356,2024-03-24,运动户外,健身哑铃,华南,佛山,小程序,个人用户,3,682.44,0.15,1740.22
ORD20243373,2024-03-24,家居用品,加湿器,华南,广州,APP,企业采购,7,163.15,0.3,799.44
ORD20257644,2024-03-24,服装鞋帽,防风外套,华东,南京,小程序,企业采购,13,896.35,0.3,8156.78
ORD20250753,2024-03-24,电子产品,高清显示器,西北,兰州,APP,个人用户,4,3978.46,0.2,12731.07
ORD20256142,2024-03-24,运动户外,瑜伽垫,华中,长沙,APP,个人用户,3,1133.56,0.0,3400.68
ORD20256452,2024-03-24,办公用品,中性笔套装,华南,广州,线上商城,个人用户,1,22.64,0.0,22.64
ORD20259903,2024-03-24,家居用品,实木置物架,华东,上海,线上商城,个人用户,1,112.94,0.0,112.94
ORD20257637,2024-03-24,办公用品,A4打印纸,华东,上海,线上商城,个人用户,6,658.89,0.0,3953.34
ORD20251702,2024-03-24,电子产品,便携充电宝,华东,杭州,小程序,个人用户,3,7197.83,0.0,21593.49
